,Distancia
386,152.79979432087998
387,153.88466431997063
388,154.78112502818163
389,152.86581317121158
390,152.42945605472252
391,152.3669709262235
392,152.7632798424444
393,152.23545511998537
394,151.70787496794588
395,151.18053930643495
396,151.11531802427825
397,151.11531802427825
398,151.05013906677195
399,151.05013906677195
400,150.52351976869375
401,151.02033380021334
402,150.4936003025346
403,150.4936003025346
404,150.52351976869375
405,150.52351976869375
406,150.52351976869375
407,150.52351976869375
408,150.52351976869375
409,150.52351976869375
410,150.52351976869375
411,150.52351976869375
412,150.52351976869375
413,150.52351976869375
414,150.52351976869375
415,150.52351976869375
416,150.52351976869375
417,150.52351976869375
418,150.52351976869375
419,150.52351976869375
420,150.52351976869375
421,150.52351976869375
422,150.52351976869375
423,150.52351976869375
424,150.52351976869375
425,150.98500239728787
426,150.52351976869375
427,150.52351976869375
428,150.52351976869375
429,150.52351976869375
430,150.52351976869375
431,150.52351976869375
432,150.52351976869375
433,150.98500239728787
434,150.98500239728787
435,150.98500239728787
436,150.98500239728787
437,150.98500239728787
438,150.98500239728787
439,150.52351976869375
440,150.98500239728787
441,150.52351976869375
442,150.98500239728787
443,150.98500239728787
444,150.98500239728787
445,150.98500239728787
446,150.98500239728787
447,150.52351976869375
448,150.98500239728787
449,150.98500239728787
450,150.98500239728787
451,150.98500239728787
452,150.98500239728787
453,150.98500239728787
454,150.98500239728787
455,150.98500239728787
456,150.98500239728787
457,150.98500239728787
458,149.99714448864515
459,150.98500239728787
460,150.98500239728787
461,150.52351976869375
462,150.98500239728787
463,150.98500239728787
464,150.98500239728787
465,150.98500239728787
466,150.98500239728787
467,150.98500239728787
468,150.98500239728787
469,150.52351976869375
470,150.98500239728787
471,150.45861883791636
472,150.98500239728787
473,150.98500239728787
474,150.45861883791636
475,150.52351976869375
476,150.98500239728787
477,150.98500239728787
478,150.98500239728787
479,150.98500239728787
480,150.98500239728787
481,150.98500239728787
482,150.52351976869375
483,150.98500239728787
484,150.98500239728787
485,150.45861883791636
486,150.98500239728787
487,150.98500239728787
488,150.98500239728787
489,150.98500239728787
490,150.98500239728787
491,150.98500239728787
492,150.98500239728787
493,150.45861883791636
494,150.98500239728787
495,150.45861883791636
496,150.98500239728787
