,Aprox,Derivative,Distancia,Tiempo
86,135.2940895186737,8.1,136.37888911791111,19.025511026382446
87,142.09277312306983,10.799999999999999,136.37602809210452,19.248380661010742
88,135.29320570953055,8.1,136.37888911791111,19.98509669303894
89,142.09944328578635,10.799999999999999,136.37888911791111,20.320589303970337
90,135.29401768398535,8.1,136.37888911791111,20.512065887451172
91,142.09284631409002,10.799999999999999,136.37602809210452,20.72203755378723
92,135.29321460069556,8.1,136.37888911791111,20.816598653793335
93,142.0936642329936,10.799999999999999,136.37602809210452,20.993326663970947
94,135.29331398860197,8.1,136.37888911791111,21.057297468185425
95,142.0935630416635,10.799999999999999,136.37602809210452,21.34450387954712
96,135.29078869837466,8.1,136.37602809210452,21.713056564331055
97,142.1018948829613,10.799999999999999,136.37888911791111,21.745975732803345
